File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-zh-rCN\values.xml,19,16,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-zh-rHK\values.xml,19,16,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-zh-rTW\values.xml,19,16,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-zu\values.xml,19,16,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\support-v4\20.0.0\AndroidManifest.xml,19,15,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeAssets\debug\merger.xml,18,15,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeAssets\test\debug\merger.xml,9,6,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeResources\debug\merger.xml,8534,8090,7,3,444,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeResources\test\debug\merger.xml,11,8,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\manifests\debug\AndroidManifest.xml,35,30,0,0,5,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\manifests\test\debug\AndroidManifest.xml,17,13,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\anim\abc_fade_in.xml,20,16,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\anim\abc_fade_out.xml,20,16,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\anim\abc_slide_in_bottom.xml,20,17,1,0,3,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\anim\abc_slide_in_top.xml,19,16,1,0,3,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\anim\abc_slide_out_bottom.xml,19,16,1,0,3,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\anim\abc_slide_out_top.xml,19,16,1,0,3,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\color\abc_search_url_text_holo.xml,21,17,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\drawable\abc_ic_clear.xml,23,19,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\drawable\abc_ic_clear_holo_light.xml,23,19,1,0,4,1,0,1,0,0
